Month,Calls
2-1-03,78530
3-1-03,309776
4-1-03,270314
5-1-03,235470
6-1-03,406369
7-1-03,376339
8-1-03,575907
9-1-03,542250
10-1-03,490925
11-1-03,543046
12-1-03,687586
1-1-04,962799
2-1-04,743627
3-1-04,765606
4-1-04,765899
5-1-04,744102
6-1-04,804098
7-1-04,806074
8-1-04,775527
9-1-04,1003817
10-1-04,1189522
11-1-04,1024765
12-1-04,1055444
1-1-05,1292654
2-1-05,1118160
3-1-05,1196668
4-1-05,904409
5-1-05,1064132
6-1-05,1072060
7-1-05,967790
8-1-05,971801
9-1-05,944629
10-1-05,1287522
11-1-05,1262079
12-1-05,1969526
1-1-06,1219209
2-1-06,1248439
3-1-06,1079503
4-1-06,1063376
5-1-06,1135416
6-1-06,1096130
7-1-06,1129471
8-1-06,1071116
9-1-06,1009423
10-1-06,1233238
11-1-06,1210954
12-1-06,972491
1-1-07,1170008
2-1-07,1611888
3-1-07,1307333
4-1-07,1337764
5-1-07,1191776
6-1-07,1069216
7-1-07,1132206
8-1-07,1169569
9-1-07,1210812
10-1-07,1271097
11-1-07,1399202
12-1-07,1443744
1-1-08,1225931
2-1-08,1410182
3-1-08,1155545
4-1-08,1197815
5-1-08,1219067
6-1-08,1313627
7-1-08,1254005
8-1-08,1138045
9-1-08,1228707
10-1-08,1751669
11-1-08,1465016
12-1-08,1739896
1-1-09,2085733
2-1-09,1491775
3-1-09,1811209
4-1-09,1518269
5-1-09,1473048
6-1-09,1405733
7-1-09,1474580
8-1-09,1246284
9-1-09,1473385
10-1-09,1359208
11-1-09,1470741
12-1-09,1897471
1-1-10,1448598
2-1-10,2401803
3-1-10,1591234
4-1-10,1441649
5-1-10,1471524
6-1-10,1366068
7-1-10,1404012
8-1-10,1190347
9-1-10,1765700
10-1-10,1431289
11-1-10,1943647
12-1-10,2237701
1-1-11,3975722
2-1-11,2053729
3-1-11,1362188
4-1-11,1553199
5-1-11,1306962
6-1-11,1505450
7-1-11,1305861
8-1-11,2117266
9-1-11,1664290
10-1-11,1841378
11-1-11,1894959
12-1-11,1659079
1-1-12,1736058
2-1-12,1378795
3-1-12,1257413
4-1-12,1510667
5-1-12,1368643
6-1-12,1223050
7-1-12,1312457
8-1-12,1277706
9-1-12,1478843
10-1-12,2301595
11-1-12,3180720
12-1-12,1496907
1-1-13,1358642
2-1-13,1751875
3-1-13,1697352
4-1-13,1254073
5-1-13,1624358
6-1-13,1181569
7-1-13,1283283
8-1-13,1275917
9-1-13,1707335
10-1-13,1614138
11-1-13,1689941
12-1-13,2018348
1-1-14,3290884
2-1-14,2799870
3-1-14,1467310
4-1-14,1532810
5-1-14,1297140
6-1-14,1369260
7-1-14,1400445
8-1-14,1187892
9-1-14,1310699
10-1-14,1937369
11-1-14,1643810
12-1-14,1632642
1-1-15,2412937
2-1-15,3236366
3-1-15,2155559
4-1-15,1612031
5-1-15,1334771
6-1-15,1214066
7-1-15,1538296
8-1-15,1063692
